player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Gavin Hardison,100827,QB,UTEP,4,61.9,147,162,12.7,2.95,3,13,7.6,48.1,78,0,51,14.3,181,13,46,330,48.8,63.8,63.9,54.5,2,3,190,0,23.5,63.5,6.6,12,5,1,9,2,9,4.7,966,6.0
Kyle Vantrease,55029,QB,GA SOUTHRN,3,66.7,144,152,9.2,2.26,3,5,3.2,59.2,90,0,27,6.3,156,6,51,174,74.2,56.5,55.8,58.7,0,6,162,0,0.0,75.2,0.0,0,4,0,5,6,10,6.2,986,6.5
Ryan Hilinski,71295,QB,NWESTERN,3,69.1,136,142,7.9,2.64,2,1,0.7,63.4,90,2,30,4.3,147,4,49,256,52.2,59.6,59.3,58.3,1,3,155,5,10.0,86.2,2.0,3,1,0,3,5,6,3.9,967,6.8
Will Rogers,124184,QB,MISS STATE,3,81.8,132,138,5.3,2.34,2,3,2.1,72.5,100,0,29,7.4,151,8,52,227,73.8,77.0,76.4,56.6,0,3,159,0,24.1,107.0,4.6,7,3,0,4,10,1,0.6,975,7.1
Connor Bazelak,99135,QB,INDIANA,3,66.4,131,136,9.7,2.38,0,6,4.1,56.6,77,0,38,11.5,142,10,42,190,74.8,68.8,67.9,60.1,0,2,152,1,10.5,82.7,2.8,4,1,0,5,5,5,3.3,891,6.6
Aidan O'Connell,60516,QB,PURDUE,3,71.2,125,134,9.5,2.34,1,5,3.5,64.2,86,0,30,3.4,137,3,45,273,73.3,74.8,74.8,57.3,3,1,146,1,6.7,103.4,1.5,2,1,0,5,8,4,2.7,998,7.4
John Paddock,77689,QB,BALL ST,3,68.6,118,127,6.8,1.92,6,8,6.1,61.4,78,0,40,3.7,128,3,40,117,73.1,79.1,77.9,60.0,1,3,132,0,2.5,85.7,0.8,1,0,0,2,6,3,2.3,808,6.4
Frank Harris,60586,QB,UTSA,3,73.1,119,126,8.3,2.49,1,6,4.4,66.7,84,0,50,3.4,146,3,56,331,61.9,83.6,80.2,75.4,1,2,158,2,14.0,97.3,4.8,7,13,2,3,6,2,1.3,918,7.3
Daniel Richardson,97103,QB,C MICHIGAN,3,64.2,123,126,9.9,2.39,0,4,2.9,57.1,72,0,33,8.9,134,7,48,134,73.7,63.6,62.1,64.3,0,2,146,0,15.2,91.0,3.7,5,3,0,3,7,3,2.1,889,7.1
N'Kosi Perry,60446,QB,FAU,4,65.0,117,123,11.9,2.43,1,11,8.5,57.7,71,0,35,6.6,135,5,55,165,45.5,79.4,81.9,54.0,0,2,142,1,11.4,103.9,3.0,4,8,0,5,10,4,2.8,987,8.0
Matt McDonald,60350,QB,BOWL GREEN,3,69.5,105,119,8.4,2.78,7,7,5.3,56.3,67,0,49,8.2,134,6,38,122,74.7,78.9,79.3,61.2,4,0,147,0,8.2,101.2,3.0,4,9,0,3,10,2,1.4,690,5.8
Davis Brin,77642,QB,TULSA,3,71.8,117,119,12.7,2.57,0,9,7.1,63.9,76,0,37,9.5,135,8,53,320,59.1,85.1,83.3,66.1,2,1,143,0,27.0,124.8,7.4,10,6,0,0,11,2,1.4,1206,10.1
Cole Snyder,97617,QB,BUFFALO,3,64.3,112,118,10.0,2.36,4,6,4.8,60.2,71,0,40,1.4,136,1,43,126,66.0,75.7,72.2,70.8,0,2,142,0,27.5,85.2,8.1,11,7,0,2,5,6,4.2,735,6.2
Layne Hatcher,82068,QB,TEXAS ST,3,71.2,111,118,9.2,2.55,2,6,5.0,61.9,73,0,38,7.6,131,6,29,314,42.1,52.8,53.5,52.7,0,3,135,2,21.1,85.2,6.1,8,3,0,5,6,7,5.2,713,6.0
Casey Thompson,77677,QB,NEBRASKA,4,77.7,112,118,10.5,2.65,0,8,6.5,64.4,76,0,41,12.6,133,11,48,238,59.7,90.3,86.5,77.3,2,3,140,2,24.4,94.4,7.5,10,5,0,4,5,3,2.1,995,8.4
Gunnar Watson,83570,QB,TROY,3,77.5,111,117,8.4,2.62,3,4,3.3,68.4,80,0,46,7.0,132,6,46,318,29.1,83.5,84.8,56.0,1,4,137,1,21.7,92.2,7.6,10,5,0,2,5,6,4.4,931,8.0
Tanner Mordecai,77656,QB,SMU,3,69.1,110,116,9.7,2.44,0,11,8.9,59.5,69,0,24,9.2,125,7,47,287,57.5,79.4,80.9,49.2,1,3,133,0,16.7,105.6,3.2,4,4,0,5,10,2,1.5,1003,8.6
Jaren Hall,82094,QB,BYU,3,77.2,101,112,8.3,2.75,2,5,4.1,68.8,77,0,29,1.3,123,1,42,128,61.1,73.2,73.1,58.5,0,1,134,0,13.8,101.3,3.3,4,7,0,9,5,3,2.2,827,7.4
Donovan Smith,73929,QB,TEXAS TECH,3,72.1,104,111,9.0,2.79,0,2,1.8,64.0,71,0,46,5.3,128,4,39,315,61.5,63.3,64.1,59.0,2,5,130,2,19.6,87.1,7.0,9,8,0,5,7,4,3.1,786,7.1
Jack Plummer,83543,QB,CAL,3,72.0,100,111,9.6,2.7,1,4,3.3,60.4,67,0,48,6.9,131,5,42,130,58.1,61.3,55.2,79.8,2,2,141,0,25.0,87.3,9.2,12,8,0,8,5,4,2.8,730,6.6
Austin Reed,111760,QB,W KENTUCKY,3,76.5,102,109,9.6,2.43,2,5,4.1,67.9,74,0,20,5.1,118,4,38,346,46.8,77.6,78.1,62.6,3,3,131,1,15.0,108.4,2.5,3,5,2,0,9,5,3.8,880,8.1
Jake Haener,60596,QB,FRESNO ST,3,79.2,101,108,6.5,2.66,0,2,1.7,69.4,75,0,39,6.3,121,5,39,169,56.5,72.1,70.4,68.4,1,1,130,1,15.4,101.4,5.0,6,6,2,4,4,4,3.1,854,7.9
Jayden de Laura,131928,QB,ARIZONA,3,71.2,104,108,9.2,2.89,0,6,5.5,60.2,65,0,40,12.2,119,9,42,109,74.0,68.0,65.1,75.4,1,4,121,4,10.0,84.2,3.4,4,7,0,3,6,7,5.8,748,6.9
Phil Jurkovec,83533,QB,BOSTON COL,3,69.7,99,107,9.9,2.9,1,2,1.8,58.9,63,0,51,8.7,127,6,33,121,74.2,58.7,56.9,61.9,2,3,133,1,23.5,86.9,9.4,12,7,0,5,6,4,3.0,738,6.9
Michael Penix Jr.,82134,QB,WASHINGTON,3,73.1,104,107,10.8,2.42,1,7,6.3,65.4,70,0,22,7.9,109,6,53,340,74.2,88.0,87.7,61.7,0,1,114,0,0.0,125.9,0.0,0,2,1,1,10,1,0.9,1079,10.1
Austin Aune,83528,QB,N TEXAS,4,65.7,102,106,12.8,2.55,1,6,5.4,54.7,58,0,20,13.4,110,9,43,251,57.2,72.9,75.3,51.1,0,4,116,1,5.0,97.4,0.9,1,3,1,2,9,4,3.4,945,8.9
Hunter Dekkers,122511,QB,IOWA STATE,3,79.6,103,105,6.6,2.46,0,4,3.5,74.3,78,1,29,4.9,110,4,42,193,59.4,72.1,76.2,50.7,0,3,118,1,10.3,107.0,2.7,3,2,0,2,8,3,2.5,745,7.1
Cameron Ward,133244,QB,WASH STATE,3,75.0,96,105,6.7,2.74,0,2,1.8,63.8,67,0,43,6.9,117,5,35,341,57.2,70.2,68.3,65.1,0,3,121,1,18.6,97.6,6.8,8,3,0,9,8,4,3.3,727,6.9
JT Daniels,83578,QB,W VIRGINIA,3,72.0,100,104,8.8,2.39,0,4,3.7,64.4,67,0,29,6.9,110,5,40,343,54.3,75.1,75.4,56.2,4,2,114,2,13.8,97.1,3.6,4,2,0,0,6,4,3.5,752,7.2
Andrew Peasley,83581,QB,WYOMING,4,69.7,99,103,8.0,2.72,0,2,1.9,60.2,62,0,23,10.1,114,7,29,351,60.4,55.0,48.8,67.5,1,2,117,1,8.7,77.8,1.8,2,9,0,3,3,7,6.0,592,5.7
Carter Bradley,77685,QB,S ALABAMA,3,78.4,97,102,7.2,2.19,1,6,5.6,66.7,68,0,18,10.5,113,8,44,288,73.1,73.9,73.9,64.5,1,2,118,2,16.7,106.2,2.7,3,8,0,3,7,3,2.5,829,8.1
Spencer Rattler,97408,QB,S CAROLINA,3,74.7,87,102,8.3,3.0,0,4,3.6,58.8,60,0,49,7.7,119,5,28,289,40.3,45.6,42.5,63.4,3,5,129,1,16.3,66.9,6.7,8,8,0,12,2,10,7.8,727,7.1
Clayton Tune,77652,QB,HOUSTON,3,75.8,91,102,6.5,3.16,3,2,1.8,62.7,64,0,50,7.2,127,5,38,182,60.9,71.3,63.5,75.1,0,2,136,0,24.0,92.7,9.4,12,13,0,8,5,4,2.9,738,7.2
Hayden Wolff,98362,QB,DOMINION,3,61.6,99,102,11.1,2.51,3,8,7.3,53.9,55,0,41,9.8,113,6,27,263,37.9,57.5,55.9,67.4,0,1,120,1,19.5,86.8,7.1,8,3,0,0,5,7,5.8,675,6.6
John Rhys Plumlee,97602,QB,UCF,3,73.7,99,101,8.6,2.65,0,6,5.5,61.4,62,0,27,15.1,115,11,37,323,41.0,78.4,69.7,75.2,1,2,124,1,25.9,94.2,6.1,7,7,0,1,5,9,7.3,794,7.9
Brennan Armstrong,77696,QB,VIRGINIA,3,62.6,99,101,12.1,2.88,1,6,5.5,52.5,53,0,57,14.5,124,9,34,335,46.1,57.1,54.1,62.6,0,3,132,0,12.3,69.3,5.6,7,16,0,1,2,6,4.5,709,7.0
Chase Brice,60363,QB,APP STATE,3,70.5,95,100,10.5,2.51,0,10,9.3,62.0,62,0,29,7.5,113,5,38,108,58.2,78.1,80.8,57.7,1,1,121,1,13.8,112.1,3.5,4,9,0,4,9,5,4.1,780,7.8
Holton Ahlers,77651,QB,E CAROLINA,3,75.0,96,100,9.1,2.43,2,6,5.7,67.0,67,0,36,6.9,115,5,44,156,56.9,83.6,82.6,64.5,0,2,122,0,16.7,106.2,5.2,6,9,0,2,7,3,2.5,798,8.0
Ben Bryant,77655,QB,CINCINNATI,3,76.3,97,99,9.8,2.33,0,6,5.7,70.7,70,0,27,5.4,111,4,42,138,55.7,83.9,85.5,58.6,2,2,117,2,29.6,113.0,7.2,8,4,0,0,7,2,1.7,876,8.8
Drake Maye,143969,QB,N CAROLINA,3,81.5,92,98,9.8,2.68,0,6,5.9,73.5,72,0,44,4.0,116,3,49,245,59.5,88.5,86.1,70.5,1,1,122,0,13.6,135.8,5.2,6,12,1,4,11,1,0.8,924,9.4
Jack Salopek,130662,QB,W MICHIGAN,3,58.9,90,97,11.5,2.86,1,6,6.0,53.6,52,0,46,1.9,115,1,31,347,56.7,62.9,64.4,54.5,2,4,118,1,19.6,55.4,7.8,9,9,0,4,1,7,5.9,522,5.4
Tommy DeVito,60545,QB,ILLINOIS,3,78.3,92,97,7.2,2.51,0,6,5.9,67.0,65,0,19,9.7,111,7,34,187,58.2,77.3,76.2,64.3,0,2,115,0,31.6,96.7,5.4,6,7,0,5,6,5,4.3,622,6.4
Kurtis Rourke,97998,QB,OHIO,3,73.6,91,97,8.4,2.89,2,4,3.9,62.9,61,0,32,9.0,105,6,33,259,59.9,71.8,69.2,63.4,1,2,110,0,15.6,91.3,4.8,5,3,0,3,5,5,4.5,658,6.8
DJ Irons,145585,QB,AKRON,3,75.0,88,96,8.9,2.93,0,2,2.0,65.6,63,0,41,4.5,116,3,34,102,63.2,68.7,69.5,60.2,1,0,121,1,24.4,91.5,8.6,10,10,1,6,2,2,1.7,641,6.7
Grant Wells,97784,QB,VA TECH,3,71.7,92,96,9.2,2.79,1,2,2.0,65.6,63,0,25,4.5,105,3,39,337,74.9,72.8,72.2,61.7,0,4,111,1,12.0,81.6,2.9,3,6,0,3,4,3,2.7,651,6.8
Taylor Powell,60459,QB,E MICHIGAN,3,78.3,92,95,8.1,2.66,0,8,7.8,66.3,63,0,33,12.5,107,9,29,160,73.7,66.6,67.2,58.1,0,5,115,1,21.2,79.0,6.5,7,5,0,3,4,5,4.3,673,7.1
Chase Cunningham,78533,QB,MIDDLE TN,3,82.2,90,95,6.3,2.41,1,6,5.8,72.6,69,0,34,6.8,109,5,30,224,74.8,65.0,70.0,51.2,0,2,117,1,23.5,93.8,7.3,8,6,0,4,4,4,3.4,592,6.2
Payton Thorne,101629,QB,MICH STATE,3,70.0,90,95,10.6,2.84,2,4,3.8,63.2,60,0,29,4.8,106,3,39,223,74.1,68.6,65.3,67.9,1,4,115,0,17.2,95.4,4.7,5,6,1,1,7,5,4.3,768,8.1
Spencer Sanders,77660,QB,OKLA STATE,3,74.4,90,95,9.7,2.6,1,3,2.9,65.3,62,0,25,7.5,104,5,44,262,76.5,78.9,76.2,68.6,2,1,115,0,12.0,127.3,2.9,3,6,0,2,10,2,1.7,916,9.6
Seth Henigan,144267,QB,MEMPHIS,3,76.4,89,93,11.1,2.75,0,5,5.0,66.7,62,0,31,8.8,109,6,37,218,28.4,83.2,90.1,48.7,0,0,116,2,19.4,121.3,5.5,6,9,0,4,6,1,0.9,940,10.1
Will Levis,83542,QB,KENTUCKY,3,77.6,85,91,10.0,2.8,1,1,1.0,67.0,61,0,37,7.6,108,5,45,202,39.2,64.5,66.2,51.8,0,4,113,0,27.0,102.0,9.3,10,7,0,5,6,5,4.4,882,9.7
Stetson Bennett,60387,QB,GEORGIA,3,81.0,84,89,7.6,2.53,1,1,1.1,73.0,65,0,17,4.4,90,3,44,173,54.4,87.8,82.9,78.9,0,0,94,1,5.9,126.2,1.1,1,0,1,3,5,2,2.1,952,10.7
DJ Uiagalelei,122162,QB,CLEMSON,3,77.1,83,89,9.1,2.35,0,8,8.6,64.0,57,0,22,10.9,97,7,32,140,59.1,86.6,86.8,67.1,1,1,101,2,13.6,100.5,3.1,3,4,0,5,5,1,1.0,662,7.4
Taulia Tagovailoa,97271,QB,MARYLAND,3,87.1,85,88,6.8,2.91,0,5,5.5,77.3,68,0,21,8.1,98,6,39,215,74.3,87.6,90.2,59.3,0,2,101,1,19.0,121.9,4.1,4,6,0,3,6,3,3.0,891,10.1
Darren Grainger,78496,QB,GA STATE,3,63.9,83,88,12.2,2.73,2,5,5.1,52.3,46,0,27,13.2,102,7,30,175,77.1,77.8,76.9,67.4,2,2,113,1,14.8,96.7,3.9,4,9,0,1,8,2,1.8,639,7.3
James Blackman,60382,QB,ARK STATE,3,76.9,78,88,5.9,2.59,0,2,2.2,68.2,60,0,35,0.0,95,0,31,113,73.5,72.4,72.0,61.5,3,0,100,0,8.6,105.7,3.2,3,3,0,7,4,0,0.0,668,7.6
Bo Nix,97790,QB,OREGON,3,85.7,77,88,5.3,2.64,2,1,1.1,70.5,62,0,12,6.1,95,4,33,264,74.8,71.8,66.1,73.5,0,2,102,2,0.0,109.7,0.0,0,7,0,9,7,3,2.9,672,7.6
Caleb Williams,144622,QB,USC,3,81.0,84,87,9.0,3.15,0,2,2.1,73.6,64,0,30,5.9,101,4,45,326,42.3,82.7,78.3,73.1,0,0,109,0,26.7,135.9,7.9,8,6,1,2,8,2,1.8,874,10.0
Zion Turner,158636,QB,UCONN,4,64.2,81,87,6.3,2.72,2,2,2.2,50.6,44,0,30,15.4,101,8,22,146,38.3,51.9,48.4,61.4,1,3,104,1,16.7,63.9,5.0,5,9,0,3,4,6,5.8,390,4.5
Brady Cook,124199,QB,MISSOURI,3,74.7,83,87,9.4,2.6,1,3,3.4,64.4,56,0,24,9.7,103,6,29,229,57.8,76.1,68.1,77.5,0,3,105,2,8.3,87.2,1.9,2,12,1,2,4,6,5.7,638,7.3
Joey Yellen,71430,QB,HAWAII,4,55.1,78,87,8.7,2.36,3,0,0.0,46.0,40,0,29,7.0,94,3,16,180,71.7,35.3,35.3,,1,2,95,1,24.1,46.3,7.4,7,0,0,5,0,4,4.2,324,3.7
Gerry Bohanon,77636,QB,USF,3,65.1,83,86,10.0,2.27,1,2,2.3,53.5,46,0,14,14.8,89,8,24,327,75.9,73.8,66.1,76.4,2,4,92,0,7.1,51.8,1.1,1,2,0,0,0,5,5.4,507,5.9
Jeff Sims,122496,QB,GA TECH,3,68.7,83,85,8.0,2.55,1,0,0.0,57.6,49,0,30,14.0,105,8,23,176,59.5,61.8,59.0,62.9,1,2,106,0,30.0,65.0,8.6,9,11,0,0,1,4,3.8,424,5.0
Tyler Van Dyke,122225,QB,MIAMI FL,3,74.4,78,85,8.6,2.83,2,4,4.3,62.4,53,0,25,8.6,95,5,32,220,72.5,63.0,65.8,45.6,0,1,103,0,16.0,93.8,4.2,4,5,0,5,3,5,4.9,671,7.9
Bryce Young,123943,QB,ALABAMA,3,77.2,79,85,8.3,2.91,0,2,2.3,68.2,58,0,29,4.9,100,3,44,103,72.0,77.6,70.9,82.0,2,2,103,1,13.8,116.0,4.0,4,11,0,4,9,3,2.9,644,7.6
Dorian Thompson-Robinson,83574,QB,UCLA,3,83.1,77,85,4.5,2.75,3,1,1.1,71.8,61,0,28,4.7,100,3,37,324,34.8,58.8,60.3,55.8,0,1,106,1,7.1,112.7,2.0,2,12,0,5,6,3,2.8,656,7.7
Hendon Hooker,60593,QB,TENNESSEE,3,75.0,84,85,12.2,2.57,0,7,7.3,69.4,59,0,15,6.3,96,4,31,307,57.8,86.8,82.9,73.5,1,0,107,1,40.0,124.8,6.3,6,5,0,0,6,1,0.9,844,9.9
Malik Cunningham,60436,QB,LOUISVILLE,3,67.9,78,85,8.9,3.3,1,3,3.3,60.0,51,0,34,3.8,107,2,31,210,47.6,69.3,58.0,76.6,0,3,114,0,23.5,70.5,7.5,8,14,0,6,1,6,5.3,595,7.0
Clay Millen,146082,QB,COLO STATE,3,81.3,80,85,6.5,2.69,2,2,2.2,71.8,61,0,53,6.2,121,4,32,144,27.3,54.0,54.7,53.0,2,4,125,0,45.3,91.5,19.8,24,12,0,1,5,7,5.6,605,7.1
C.J. Stroud,129759,QB,OHIO STATE,3,75.9,83,84,11.0,2.83,0,7,7.9,72.6,61,0,13,3.2,89,2,38,260,73.1,90.1,89.6,63.0,0,0,94,0,15.4,148.7,2.2,2,2,0,1,11,4,4.3,937,11.2
Cameron Rising,77663,QB,UTAH,3,69.9,83,84,9.4,2.54,0,3,3.5,66.7,56,0,26,3.4,94,2,41,328,72.9,81.9,78.2,72.8,0,1,95,1,11.5,118.5,3.2,3,6,0,1,8,2,2.1,686,8.2
Doug Brumfield,128348,QB,UNLV,3,83.8,80,84,8.9,2.9,0,4,4.7,70.2,59,0,34,11.9,106,8,42,325,35.0,90.4,85.5,78.1,3,1,110,1,20.6,121.7,6.6,7,15,0,1,7,3,2.7,772,9.2
Jayden Daniels,97993,QB,LSU,3,76.5,81,83,7.2,2.95,0,1,1.2,68.7,57,0,30,8.1,111,5,43,211,74.0,77.7,64.1,85.1,0,0,114,0,26.7,111.3,7.2,8,20,1,1,6,0,0.0,556,6.7
Sean Clifford,51708,QB,PENN STATE,3,74.0,77,83,8.1,2.88,1,3,3.3,63.9,53,0,29,7.0,93,4,34,266,55.4,66.9,64.1,61.9,1,1,100,0,13.8,104.1,4.3,4,6,0,4,5,3,3.0,673,8.1
Devin Leary,77628,QB,NC STATE,3,69.7,76,81,10.2,2.58,0,5,5.8,59.3,48,0,19,9.4,87,5,29,248,53.0,78.5,71.9,83.8,3,1,92,1,21.1,96.2,4.6,4,2,0,2,5,3,3.3,570,7.0
Henry Colombi,60583,QB,MARSHALL,3,82.5,80,81,4.9,2.72,1,2,2.4,77.8,63,0,28,4.5,104,3,35,214,53.8,70.7,73.6,55.4,0,2,109,0,32.1,108.1,8.7,9,13,0,0,4,2,1.8,685,8.5
TJ McMahon,83521,QB,RICE,3,71.4,77,80,10.0,2.67,2,1,1.2,63.8,51,0,29,7.3,96,4,33,275,72.3,75.8,70.1,76.5,0,6,105,0,27.6,86.6,8.3,8,8,0,1,7,3,2.9,642,8.0
Grayson James,145214,QB,FIU,2,69.3,75,79,6.0,2.3,1,1,1.2,59.5,47,0,34,9.6,87,5,25,166,72.2,58.3,56.9,68.2,0,2,95,1,8.8,79.0,3.4,3,4,0,3,4,5,5.3,398,5.0
Spencer Petras,82136,QB,IOWA,3,60.0,70,78,10.0,2.54,3,1,1.2,47.4,37,0,31,11.9,88,5,15,192,32.3,46.7,46.6,52.0,4,2,92,0,19.4,55.3,6.8,6,4,1,0,1,4,4.3,376,4.8
Garrett Shrader,98212,QB,SYRACUSE,3,75.7,74,78,10.0,3.04,0,4,4.7,65.4,51,0,41,8.9,100,5,43,304,77.2,90.5,84.5,80.1,2,0,110,1,14.6,128.6,6.0,6,16,0,2,8,3,2.7,709,9.1
Dillon Gabriel,86272,QB,OKLAHOMA,3,73.3,75,78,10.1,2.52,1,4,4.8,66.7,52,0,17,5.5,87,3,33,261,73.3,82.1,75.5,81.4,1,0,93,1,41.2,128.1,8.0,7,1,0,1,7,0,0.0,759,9.7
KJ Jefferson,99129,QB,ARKANSAS,3,80.5,77,78,8.8,2.94,0,5,6.2,70.5,55,0,27,11.3,90,7,32,111,38.0,83.0,83.8,66.5,0,1,93,0,14.8,122.3,4.4,4,7,0,1,6,2,2.2,770,9.9
Parker McNeil,123714,QB,LA TECH,3,67.6,68,77,10.7,2.14,6,6,7.1,54.5,42,0,17,8.7,79,4,22,208,24.2,67.6,72.2,31.3,2,3,87,0,11.8,92.8,2.5,2,0,0,1,6,4,4.6,656,8.5
Anthony Richardson,124393,QB,FLORIDA,3,63.8,69,76,9.6,2.99,0,0,0.0,52.6,40,0,27,9.1,88,4,24,163,57.3,53.2,43.9,72.2,2,4,93,0,11.1,47.0,3.4,3,8,0,5,0,6,6.5,420,5.5
Chance Nolan,78493,QB,OREGON ST,3,77.3,75,75,12.3,2.76,0,8,9.5,62.7,47,0,22,19.0,83,11,34,265,73.3,90.6,91.3,61.2,0,2,92,1,9.1,115.9,2.4,2,6,0,0,7,2,2.2,749,10.0
Emory Jones,82111,QB,ARIZONA ST,3,75.4,69,74,9.7,2.49,2,1,1.3,60.8,45,0,27,13.5,86,7,27,110,55.7,71.7,70.3,65.4,1,0,92,2,14.8,93.1,4.7,4,7,0,2,2,1,1.1,557,7.5
Blake Shapen,122282,QB,BAYLOR,3,78.3,69,74,9.2,2.92,4,2,2.6,67.6,50,0,25,7.4,83,4,26,118,72.7,84.9,81.3,73.5,0,1,86,0,24.0,100.9,7.2,6,3,0,1,4,3,3.5,535,7.2
Dequan Finn,97804,QB,TOLEDO,3,68.1,69,74,13.0,3.36,1,3,3.8,59.5,44,0,35,6.4,93,3,31,316,54.7,76.2,67.1,79.3,1,2,99,0,11.4,93.4,4.3,4,15,0,3,5,3,3.0,542,7.3
Kaidon Salter,132046,QB,LIBERTY,3,66.2,65,72,16.1,3.71,2,5,6.5,55.6,40,0,32,7.0,94,3,33,206,28.2,64.3,61.3,64.2,2,3,99,0,15.6,84.6,5.3,5,17,0,3,4,6,6.1,606,8.4
Sam Hartman,77618,QB,WAKE,2,67.1,70,71,12.3,2.97,1,4,5.5,62.0,44,0,16,6.4,81,3,27,339,73.3,68.6,70.3,57.1,0,2,83,1,31.3,111.5,6.2,5,5,0,0,7,2,2.4,625,8.8
Grayson McCall,98002,QB,COAST CAR,3,82.6,69,71,9.0,2.69,0,5,6.8,70.4,50,0,22,12.3,82,7,37,141,75.6,82.8,87.4,59.3,0,1,85,1,18.2,137.5,4.9,4,6,0,2,9,2,2.4,733,10.3
Chevan Cordeiro,75886,QB,S JOSE ST,2,69.2,65,70,9.6,2.71,1,7,9.2,55.7,39,0,29,13.3,94,6,27,285,72.6,69.2,66.9,65.4,0,0,101,0,37.9,83.9,11.7,11,13,0,4,1,2,2.0,514,7.3
Jalon Daniels,122555,QB,KANSAS,3,72.1,68,70,8.8,2.25,1,4,5.3,67.1,47,0,19,4.1,75,2,35,198,58.7,81.6,85.0,61.1,1,1,81,0,0.0,119.1,0.0,0,5,0,0,7,2,2.5,566,8.1
Brayden Schager,146078,QB,HAWAII,3,73.8,65,69,7.6,2.61,0,2,2.8,59.4,41,0,20,14.6,74,7,19,180,71.6,65.9,63.6,66.2,0,4,76,0,10.0,51.5,2.7,2,1,0,4,0,2,2.6,398,5.8
Logan Bonner,39990,QB,UTAH ST,3,59.7,67,69,10.4,2.32,0,7,9.2,50.7,35,0,10,12.5,73,5,22,329,50.5,78.4,84.4,37.5,0,3,80,0,10.0,66.5,1.4,1,3,0,2,3,2,2.5,426,6.2
Michael Pratt,123229,QB,TULANE,3,74.6,63,67,9.1,2.85,0,1,1.4,62.7,42,0,18,10.6,78,5,32,319,28.0,70.9,52.6,90.9,0,2,81,0,16.7,112.6,3.8,3,8,0,4,6,5,6.2,657,9.8
Adrian Martinez,83522,QB,KANSAS ST,3,75.8,62,67,6.4,2.85,1,2,2.9,62.7,42,0,29,10.6,78,5,16,199,43.1,70.8,62.6,71.1,1,0,80,0,13.8,77.9,5.1,4,7,0,3,1,2,2.5,299,4.5
Chandler Rogers,98683,QB,LA MONROE,3,83.9,62,66,5.7,2.53,1,3,4.4,68.2,45,0,36,13.5,87,7,25,209,55.1,84.3,85.5,65.0,0,2,90,1,22.2,85.2,9.2,8,12,1,2,2,0,0.0,457,6.9
Riley Leonard,143862,QB,DUKE,3,80.6,62,66,7.2,2.55,2,3,4.4,72.7,48,0,14,4.0,78,2,33,154,74.3,74.8,73.0,67.4,0,2,80,1,14.3,121.0,2.6,2,9,0,2,5,1,1.3,723,11.0
Mike Wright,124366,QB,VANDERBILT,3,69.4,62,66,7.4,2.81,1,3,4.5,59.1,39,0,20,9.3,77,4,24,333,38.5,69.4,61.7,70.9,1,1,79,2,5.0,102.2,1.3,1,10,0,2,6,3,3.8,426,6.5
Jordan Travis,77615,QB,FLORIDA ST,3,73.4,64,65,12.0,2.84,0,5,7.5,67.7,44,0,27,6.4,69,3,27,167,73.5,91.3,91.5,63.8,0,1,71,0,14.8,112.6,5.8,4,0,0,1,4,0,0.0,624,9.6
Diego Pavia,156927,QB,NEW MEX ST,4,54.1,61,65,8.8,2.95,0,2,2.9,36.9,24,0,36,27.3,78,9,17,242,51.5,51.3,45.8,64.4,1,4,81,1,11.1,22.4,5.1,4,9,0,3,0,4,4.9,237,3.6
Miles Kendrick,77673,QB,NEW MEXICO,3,66.1,59,64,8.6,2.73,1,2,3.0,56.3,36,0,33,7.7,83,3,17,241,75.5,48.2,52.3,50.3,0,3,86,2,30.3,69.7,12.0,10,5,0,4,3,2,2.3,379,5.9
Chris Reynolds,60361,QB,CHARLOTTE,2,80.3,61,62,9.6,2.38,0,4,6.0,72.6,45,0,14,8.2,67,4,27,136,70.8,90.5,89.8,67.6,1,1,73,0,21.4,133.6,4.5,3,2,0,0,7,0,0.0,597,9.6
Graham Mertz,97994,QB,WISCONSIN,3,78.0,59,62,10.1,2.58,1,6,8.8,71.0,44,0,14,4.3,70,2,33,349,71.3,78.0,78.5,59.0,0,2,76,1,35.7,126.1,7.1,5,3,0,2,6,2,2.6,686,11.1
