player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Brett Rypien,46487,QB,LA,1,2.33,2.31,2.5,,11,26,60.0,5,6,4.0,1.95,1,0,0.0,50.0,3,2,0.0,6,54.5,0,1,,,,68.9,47.9,70.6,48.8,,,,0,0,6,0.0,56.9,0.0,0,0,0,0,0,0,0.0,19,3.2,75.0,4,4,10.8,2.78,0,0,0.0,50.0,2,2,33.3,5,45.5,1,1,,,,68.0,47.3,69.9,48.3,,,,0,0,5,50.0,67.7,20.0,1,0,0,0,0,0,0.0,23,5.8
Taysom Hill,12112,TE,NO,5,3.01,2.04,2.1,4.93,9,20,75.0,4,4,5.3,1.82,0,0,0.0,75.0,3,3,0.0,5,55.6,0,1,,,,68.0,54.6,69.9,54.9,,,,0,0,5,33.3,90.6,20.0,1,0,0,0,0,0,0.0,25,6.3,100.0,1,1,44.0,4.5,0,0,0.0,100.0,1,1,0.0,4,44.4,0,3,,,,68.0,80.9,69.9,59.7,,,78.8,0,0,5,0.0,118.8,0.0,0,3,0,0,0,0,0.0,44,44.0
Cooper Rush,12324,QB,DAL,4,1.84,1.76,2.5,,9,9,75.0,8,8,6.8,1.76,0,0,0.0,75.0,6,1,0.0,8,88.9,0,1,,,,70.3,46.5,71.5,47.5,,,,0,0,8,0.0,80.7,0.0,0,0,0,0,0,0,0.0,31,3.9,,0,0,,2.5,0,0,,,0,1,,1,11.1,0,0,,,,60.4,60.0,64.6,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Drew Lock,39517,QB,SEA,1,2.33,2.33,,,6,29,50.0,2,3,6.5,1.6,1,0,0.0,33.3,1,1,0.0,3,50.0,0,1,,,,65.5,51.0,68.2,51.8,,,,0,0,3,0.0,46.5,0.0,0,0,0,0,0,0,0.0,12,4.0,66.7,3,3,14.0,3.07,0,0,0.0,33.3,1,1,50.0,3,50.0,1,1,,,,65.5,62.1,68.2,61.8,,,,0,0,3,0.0,81.9,0.0,0,0,0,0,0,0,0.0,51,17.0
Jaren Hall,82094,QB,MIN,1,2.74,2.7,2.9,,5,18,50.0,2,2,1.0,2.25,0,0,0.0,50.0,1,1,0.0,2,40.0,0,0,,,,63.6,62.2,66.9,61.9,,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,100.0,2,2,5.0,3.07,0,0,0.0,100.0,2,1,0.0,3,60.0,0,1,,,,63.6,77.9,68.2,76.2,,,,0,0,3,100.0,108.3,33.3,1,0,0,0,0,0,0.0,20,10.0
Blaine Gabbert,6162,QB,KC,1,2.4,2.4,,,5,16,100.0,1,1,-2.0,1.2,0,0,0.0,100.0,1,0,0.0,1,20.0,0,0,,,,60.4,60.3,64.6,60.1,,,,0,0,1,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0,50.0,4,4,9.0,2.7,0,0,0.0,50.0,2,2,0.0,4,80.0,0,2,,,,68.0,34.3,69.9,36.5,,,,0,2,5,0.0,31.3,0.0,0,0,0,0,0,1,20.0,26,6.5
Mike White,46453,QB,MIA,2,2.2,2.2,,,3,17,50.0,2,2,-3.0,1.8,0,0,0.0,50.0,1,0,0.0,2,66.7,0,0,,,,63.6,22.2,66.9,24.0,,,,0,1,2,,16.7,0.0,0,0,0,0,0,1,50.0,-1,-0.5,100.0,1,1,42.0,3.0,0,1,100.0,100.0,1,0,0.0,1,33.3,0,1,,,,60.4,90.0,64.6,86.9,,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,68,68.0
Derrick Henry,10679,HB,TEN,2,2.8,2.8,,,2,31,100.0,1,1,8.0,2.3,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,60.4,71.7,64.6,70.4,,,,0,0,1,,118.8,0.0,0,0,0,0,1,0,0.0,2,2.0,0.0,1,1,22.0,3.3,0,0,0.0,0.0,0,0,,1,50.0,0,0,,,,60.4,56.7,62.5,57.4,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
C.J. Beathard,11859,QB,JAX,1,2.0,2.0,,,2,15,100.0,1,1,3.0,1.3,0,0,0.0,100.0,1,0,0.0,1,50.0,0,0,,,,60.4,60.2,64.6,60.0,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0,100.0,1,1,4.0,2.7,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,,,60.4,53.4,64.6,54.1,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Tyler Huntley,46448,QB,BLT,2,3.15,2.1,,4.2,2,3,0.0,1,1,25.0,2.1,0,0,0.0,0.0,0,0,,1,50.0,0,0,,,,60.4,49.3,64.6,50.4,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,4.2,0,0,,,0,0,,1,50.0,0,0,,,,60.4,55.9,64.6,,,,57.9,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,
Aaron Rodgers,2241,QB,NYJ,1,4.15,5.2,3.1,,2,22,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,4.15,0,0,0.0,0.0,0,2,,2,100.0,0,0,,,,65.5,39.2,68.2,41.1,,,,0,0,3,50.0,39.6,50.0,1,0,0,1,0,0,0.0,0,0.0
Jonnu Smith,11855,TE,ATL,1,3.3,3.3,,,1,2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,9.0,3.3,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.4,55.3,62.8,56.3,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Josh Jacobs,45953,HB,LV,1,5.4,,5.4,,1,23,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,5.4,0,0,,,0,1,,1,100.0,0,0,,,,60.4,60.0,62.8,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Jake Browning,46401,QB,CIN,1,2.2,2.2,,,1,7,0.0,1,1,15.0,2.2,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.4,54.5,64.6,55.1,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Logan Cooke,29214,P,JAX,1,2.4,2.4,,,1,15,100.0,1,1,4.0,2.4,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,70.3,65.7,66.9,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,13,13.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Sam Darnold,29048,QB,SF,1,1.1,1.1,,,1,28,100.0,1,1,-2.0,1.1,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.4,60.5,64.6,60.4,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Christian Kirk,47546,WR,JAX,1,3.2,3.2,,,1,15,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-1.0,3.2,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.4,62.2,64.9,60.0,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-1.0
Parris Campbell,47940,WR,NYG,1,2.8,,2.8,,1,21,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,2.8,0,0,,,0,1,,1,100.0,0,0,,,,60.4,55.6,64.9,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Cedrick Wilson Jr.,48170,WR,MIA,1,4.8,,4.8,,1,17,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.8,0,0,,,0,1,,1,100.0,0,0,,,,60.4,55.6,64.9,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Darnell Mooney,48236,WR,CHI,1,7.3,,,7.3,1,6,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,7.3,0,0,,,0,0,,1,100.0,0,0,,,,60.4,47.8,64.9,,,,56.8,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,
Nathan Peterman,11926,QB,CHI,1,5.9,,5.9,,1,6,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,5.9,0,0,,,0,1,,1,100.0,0,0,,,,,60.0,64.6,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Malik Cunningham,60436,QB,NE,1,3.3,,3.3,,1,19,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,3.3,0,0,,,0,1,,1,100.0,0,0,,,,60.4,60.0,64.6,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Devin Singletary,40485,HB,HST,1,2.7,2.7,,,1,13,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,12.0,2.7,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,60.4,72.1,65.0,69.5,,,,0,0,1,0.0,131.3,0.0,0,0,0,0,1,0,0.0,6,6.0
Kadarius Toney,61245,WR,KC,1,4.6,4.6,,,1,16,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,16.0,4.6,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.4,49.8,64.9,55.1,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Chris Godwin,11839,WR,TB,1,3.6,3.6,,,1,30,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,18.0,3.6,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.4,38.3,64.9,49.6,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Clayton Tune,77652,QB,ARZ,1,1.5,1.5,,,1,1,100.0,1,1,4.0,1.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.4,60.6,64.6,60.4,,,,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Amon-Ra St. Brown,84470,WR,DET,1,4.7,,4.7,,1,11,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.7,0,0,,,0,1,,1,100.0,0,0,,,,60.4,40.4,64.9,60.0,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Drake London,86519,WR,ATL,1,4.0,4.0,,,1,2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,12.0,4.0,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,60.4,79.9,64.9,69.5,,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,22,22.0
Dontayvion Wicks,99711,WR,GB,1,2.5,2.5,,,1,12,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,9.0,2.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,80.9,64.9,69.9,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0
Keenan Allen,7857,WR,LAC,1,2.7,2.7,,,1,27,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,23.0,2.7,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.4,83.2,64.1,73.6,,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,49,49.0
Johnny Hekker,7252,P,CAR,1,2.3,2.3,,,1,5,100.0,1,1,-4.0,2.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.4,60.8,65.7,60.3,,,,0,0,1,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
