player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Mac Jones,60323,QB,NE,11,2.17,0,379,19,68.2,280,294,9.3,2.57,3,11,3.6,60.5,178,118,6.8,328,86.5,13,94,,,,,48.1,50.9,15.9,,50.8,,,61.3,,,4,12,343,18.6,72.8,6.7,22,12,0,7,10,22,6.4,1828,6.2,72.0,264,276,7.7,2.4,3,8,2.8,64.5,178,102,6.3,305,80.5,12,81,,,,,57.4,53.5,13.1,,53.5,,,61.4,,,4,8,318,18.6,77.9,6.2,19,10,0,5,8,18,5.7,1621,5.9,73.4,64,69,6.1,2.52,2,3,4.2,66.7,46,17,2.1,74,19.5,1,23,,,,,46.3,51.9,79.6,,51.9,,,60.2,,,0,4,77,17.6,73.3,4.1,3,2,0,3,2,5,6.5,499,7.2,0,95.8,48,51,-3.6,1.44,2,0,0.0,90.2,46,1,0.0,51,13.5,0,10,,,,,80.6,64.8,78.1,,64.2,,,,,,0,0,52,0.0,90.5,0.0,0,0,0,1,0,1,1.9,292,5.7,1.36
Kenny Pickett,60515,QB,PIT,12,20.57,0,363,25,68.5,267,288,8.8,2.87,5,13,4.2,59.7,172,131,6.0,325,89.5,11,92,,,,,91.1,70.7,70.7,,68.8,,,66.7,,,3,4,346,17.6,81.0,7.1,23,14,1,12,6,7,2.0,1933,6.7,68.1,248,271,8.0,2.67,7,11,3.8,58.7,159,122,5.9,304,83.7,10,75,,,,,91.0,66.9,70.0,,63.9,,,72.5,,,3,4,323,17.2,75.6,6.9,21,10,1,12,4,6,1.9,1683,6.2,90.0,50,53,5.0,3.05,1,2,3.5,79.2,42,14,6.7,59,16.3,3,21,,,,,81.8,80.3,78.8,,83.1,,,46.0,,,0,0,63,14.3,109.7,3.4,2,4,0,2,2,1,1.6,387,7.3,0,100.0,31,36,-3.8,1.61,3,0,0.0,80.6,29,5,6.5,38,10.5,2,4,,,,,79.0,63.7,77.2,,63.2,,,,,,0,0,40,0.0,82.5,0.0,0,0,0,2,0,0,0.0,137,3.8,1.09
Kirk Cousins,7102,QB,MIN,8,1.7,0,331,18,79.4,262,278,9.0,2.79,1,10,3.4,68.3,190,104,8.7,298,90.0,18,103,,,,,41.5,86.5,23.0,,85.4,,,64.8,,,7,5,318,16.3,104.0,5.7,17,3,2,6,17,8,2.5,2143,7.7,80.1,206,219,8.2,2.52,1,8,3.4,68.9,151,73,8.5,228,68.9,14,76,,,,,46.6,79.1,12.7,,78.9,,,61.7,,,6,5,242,11.0,101.9,3.5,8,1,2,4,13,6,2.5,1688,7.7,81.6,87,92,6.3,3.07,0,2,2.0,70.7,65,35,8.5,103,31.1,6,36,,,,,51.4,89.6,81.0,,86.8,60.0,,66.4,,,1,0,111,25.7,108.2,8.7,9,2,0,4,5,2,1.8,643,7.0,0,90.3,31,33,-3.5,1.84,0,0,0.0,78.8,26,4,7.1,33,10.0,2,9,,,,,78.3,67.4,76.8,,66.9,60.0,,,,,0,0,35,0.0,100.5,0.0,0,0,0,2,1,0,0.0,188,5.7,-0.72
Justin Fields,82118,QB,CHI,9,5.75,0,316,6,72.9,188,217,10.0,3.5,6,11,4.8,60.8,132,147,3.6,278,88.0,5,95,,,,,29.2,75.3,28.4,,69.3,,,80.9,,,4,5,291,21.1,94.8,11.2,31,30,0,19,13,9,3.1,1650,7.6,74.7,170,195,7.6,3.14,7,11,5.5,62.1,121,110,4.7,236,74.7,6,71,,,,,30.4,73.4,23.4,,68.1,,,78.4,,,4,6,244,19.1,86.9,8.9,21,19,0,14,11,7,2.9,1268,6.5,80.8,52,59,9.7,3.77,1,0,0.0,67.8,40,41,4.8,80,25.3,2,29,,,,,50.2,72.7,80.0,,68.8,,,72.5,,,0,0,87,24.4,108.2,12.5,10,11,0,6,2,2,2.3,542,9.2,0,94.1,34,37,-2.4,1.86,2,0,0.0,78.4,29,4,9.4,38,12.0,3,5,,,,,79.0,64.9,77.2,,65.4,,,58.3,,,0,1,40,0.0,73.4,0.0,0,0,0,1,0,0,0.0,160,4.3,2.69
Will Levis,83542,QB,TEN,7,-3.27,0,249,31,65.9,167,184,13.6,2.9,4,14,7.0,53.3,98,102,10.9,210,84.3,12,65,,,,,75.8,61.8,86.2,,61.5,56.7,,54.3,,,6,2,227,19.6,88.1,9.5,20,5,2,5,8,10,4.4,1397,7.6,70.0,150,161,9.6,2.55,3,8,4.7,59.0,95,77,9.5,178,71.5,10,53,,,,,72.1,58.4,85.8,,56.6,58.9,,62.7,,,5,3,187,15.6,78.4,6.7,12,4,2,1,4,9,4.8,1030,6.4,69.8,53,61,13.2,3.16,3,6,8.7,55.7,34,32,8.1,71,28.5,3,22,,,,,83.4,71.7,79.8,,72.1,59.3,,52.3,,,1,0,80,25.0,108.6,11.3,8,2,0,4,4,1,1.3,559,9.2,0,88.9,36,38,-3.8,1.78,2,0,0.0,81.6,31,7,3.1,39,15.7,1,10,,,,,79.0,68.8,77.2,,65.0,,,65.6,,,0,1,40,0.0,76.8,0.0,0,1,0,0,0,0,0.0,192,5.1,2.76
Aidan O'Connell,60516,QB,LV,7,-14.59,0,230,23,72.2,169,183,8.9,2.76,5,6,3.2,60.7,111,77,9.0,200,87.0,11,59,,,,,52.3,57.9,85.5,,56.4,,,63.9,,,2,7,206,22.1,73.1,8.5,17,0,0,7,4,8,3.9,1281,7.0,76.9,156,166,6.1,2.45,3,3,1.8,66.9,111,61,7.5,186,80.9,9,46,,,,,49.6,51.8,85.3,,50.2,,,63.9,,,1,7,191,27.9,69.2,9.1,17,0,0,6,2,8,4.2,994,6.0,71.1,38,44,12.8,3.06,2,3,6.5,52.3,23,16,14.8,44,19.1,4,15,,,,,79.9,76.1,77.7,,74.6,,,,,,1,0,46,0.0,95.9,0.0,0,0,0,3,2,1,2.2,371,8.4,0,100.0,25,27,-3.0,1.27,0,0,0.0,85.2,23,0,8.0,30,13.0,2,2,,,,,77.6,58.8,76.3,,58.7,,,,,,0,0,31,,79.6,0.0,0,0,0,2,0,1,3.2,84,3.1,2.44
Daniel Jones,39395,QB,NYG,6,7.21,0,209,21,73.5,136,147,7.9,2.94,3,4,2.6,65.3,96,93,4.0,196,93.8,4,48,,,,,43.0,62.7,85.0,,53.7,58.9,,82.2,,,2,6,207,32.3,68.9,15.3,30,19,0,6,2,9,4.3,877,6.0,72.1,111,116,7.4,2.76,1,2,1.7,65.5,76,69,5.0,152,72.7,4,36,,,,,52.2,57.1,84.4,,49.7,58.9,,74.7,,,1,6,162,31.9,62.0,14.5,22,14,0,3,2,6,3.7,589,5.1,84.2,38,44,5.3,3.09,2,2,4.5,72.7,32,26,0.0,57,27.3,0,15,,,,,36.3,77.2,78.5,,68.0,,,88.1,,,1,0,58,30.8,93.0,14.0,8,5,0,3,0,3,5.2,320,7.3,0,92.3,13,13,-3.7,1.48,0,0,0.0,92.3,12,2,0.0,13,6.2,0,3,,,,,72.8,64.0,73.2,,63.6,,,,,,0,0,13,0.0,79.2,0.0,0,0,0,0,0,0,0.0,32,2.5,2.19
Deshaun Watson,11767,QB,CLV,6,8.6,0,204,8,70.6,136,150,10.7,3.21,2,6,3.8,58.0,87,70,9.4,182,89.2,9,54,,,,,33.4,67.7,27.3,,66.8,,,65.1,,,3,4,195,22.9,83.2,8.8,16,16,1,8,7,5,2.6,1019,6.8,71.4,119,129,8.5,2.93,2,4,2.9,59.7,77,53,9.4,150,73.5,8,40,,,,,68.5,64.5,21.8,,64.2,,,62.5,,,2,3,160,15.1,78.1,5.3,8,13,1,5,5,3,1.9,712,5.5,78.4,37,41,10.7,3.63,0,2,4.5,68.3,28,23,3.4,54,26.5,1,18,,,,,23.1,70.7,78.7,,69.5,,,63.2,,,1,1,58,34.8,106.0,14.8,8,5,0,3,2,2,3.4,403,9.8,0,90.0,20,20,-2.6,2.3,0,0,0.0,90.0,18,6,0.0,22,10.8,0,4,,,,,75.9,60.0,75.2,,62.7,,,54.6,,,0,0,23,0.0,86.7,0.0,0,2,0,0,0,0,0.0,96,4.8,4.31
Jimmy Garoppolo,8697,QB,LV,6,-0.78,0,189,23,72.9,144,154,9.8,2.93,5,2,1.2,63.0,97,56,7.6,175,92.6,8,59,,,,,72.5,64.8,54.4,,64.8,58.9,,58.8,,,1,8,187,23.2,75.4,7.4,13,8,1,3,6,6,3.2,1090,7.1,76.4,123,131,9.1,2.79,3,1,0.7,65.6,86,47,8.5,149,78.8,8,49,,,,,69.2,69.6,51.4,,69.3,58.9,,61.3,,,1,5,158,25.5,82.4,8.1,12,6,1,3,5,4,2.5,906,6.9,68.6,35,37,7.9,3.03,2,1,2.5,64.9,24,10,0.0,40,21.2,0,14,,,,,79.5,51.0,77.4,,52.5,,,54.7,,,0,4,43,10.0,68.2,2.5,1,2,0,0,2,2,4.7,299,8.1,0,92.9,14,14,-1.3,1.66,0,0,0.0,92.9,13,1,0.0,14,7.4,0,4,,,,,73.2,68.4,73.5,,67.7,,,,,,0,1,14,0.0,94.9,0.0,0,0,0,0,1,0,0.0,115,8.2,1.16
Ryan Tannehill,7014,QB,TEN,6,-5.3,0,184,31,70.8,130,139,11.8,2.79,3,9,5.9,59.7,83,70,9.8,164,89.1,9,47,,,,,76.1,73.2,85.2,,72.6,55.9,,58.0,,,2,6,179,25.7,68.7,11.0,18,7,1,3,2,7,3.9,1002,7.2,73.8,103,110,7.9,2.51,3,6,4.9,63.6,70,54,7.9,130,70.7,6,28,,,,,72.1,60.5,84.7,,61.0,58.8,,48.4,,,2,4,143,31.5,63.3,13.1,17,3,1,1,0,5,3.5,616,5.6,70.5,44,48,14.6,3.16,2,3,5.9,58.3,28,17,9.7,54,29.3,3,22,,,,,81.2,88.8,78.5,,85.6,58.4,,71.1,,,0,2,57,11.8,91.7,3.7,2,4,0,2,2,2,3.5,512,10.7,0,88.2,17,19,-4.4,1.99,2,0,0.0,78.9,15,1,0.0,20,10.9,0,3,,,,,75.4,55.5,74.9,,55.6,,,,,,0,0,21,100.0,94.3,5.0,1,0,0,0,0,0,0.0,126,6.6,5.07
Tommy DeVito,60545,QB,NYG,6,-6.98,0,174,21,77.1,105,115,8.6,3.21,3,4,3.3,64.3,74,71,8.6,162,93.1,7,38,,,,,69.8,62.6,84.9,,65.3,60.0,,50.1,,,1,3,168,38.0,98.0,16.7,27,20,0,6,8,5,3.0,827,7.2,78.6,98,106,6.0,3.06,3,4,3.7,67.0,71,61,7.8,145,83.3,6,31,,,,,67.2,65.9,84.6,,71.0,60.0,,45.1,,,1,1,148,37.7,98.9,15.9,23,16,0,4,6,2,1.4,662,6.2,77.8,18,20,15.1,3.33,0,0,0.0,60.0,12,11,14.3,29,16.7,2,9,,,,,77.7,49.0,76.4,,44.4,,,71.1,,,0,2,32,45.5,86.0,17.2,5,4,0,2,2,3,9.4,193,9.7,0,90.9,11,11,-4.0,1.66,0,0,0.0,81.8,9,1,10.0,12,6.9,1,2,,,,,72.4,56.5,72.9,,56.5,,,,,,0,0,12,100.0,79.2,8.3,1,0,0,0,0,0,0.0,28,2.5,3.4
Tyson Bagent,169628,QB,CHI,5,15.96,0,159,6,74.8,107,117,8.6,3.17,2,2,1.6,64.1,75,51,6.3,133,83.6,5,48,,,,,44.5,56.9,84.6,,49.6,57.6,,80.0,,,3,6,139,9.8,69.2,3.8,5,11,0,5,3,11,7.9,746,6.4,73.1,104,115,6.6,2.76,3,2,1.7,62.6,72,41,5.3,124,78.0,4,39,,,,,65.2,53.4,84.5,,45.3,,,83.3,,,2,6,130,4.9,57.3,1.6,2,7,0,6,1,10,7.7,605,5.3,88.9,27,28,5.9,3.46,0,0,0.0,78.6,22,12,8.3,35,22.0,2,16,,,,,27.4,70.7,76.9,,71.7,57.6,,58.9,,,1,0,36,25.0,128.3,8.6,3,4,0,0,2,1,2.8,254,9.1,0,83.3,24,26,-3.0,1.61,1,0,0.0,73.1,19,2,5.0,26,16.4,1,7,,,,,76.8,61.4,75.8,,61.1,,,,,,0,0,27,0.0,81.1,0.0,0,0,0,1,0,0,0.0,113,4.3,3.81
Kyler Murray,38334,QB,ARZ,4,7.23,0,150,1,65.2,112,121,10.0,2.84,7,4,3.0,57.9,70,48,4.1,140,93.3,3,41,,,,,88.9,66.6,0.0,,62.6,,,79.9,,,1,2,154,22.9,78.4,7.9,11,8,0,1,3,2,1.3,775,6.4,66.7,99,106,9.3,2.54,7,4,3.5,59.4,63,38,4.5,122,81.3,3,32,,,,,88.0,67.1,0.0,,63.5,,,78.7,,,0,0,134,23.7,87.6,7.4,9,6,0,0,3,1,0.7,675,6.4,72.7,22,24,9.6,3.72,0,1,3.7,66.7,16,10,0.0,28,18.7,0,12,,,,,77.6,68.7,76.3,,66.1,,,66.4,,,1,2,31,20.0,55.7,7.1,2,2,0,1,0,1,3.2,189,7.9,0,100.0,9,9,1.2,1.58,0,1,11.1,100.0,9,0,0.0,10,6.7,0,3,,,,,71.9,79.4,72.6,,77.9,,,,,,0,0,11,,107.9,0.0,0,0,0,0,0,0,0.0,89,9.9,1.51
P.J. Walker,12134,QB,CLV,5,-15.34,0,126,8,52.9,85,94,10.9,2.91,1,4,4.0,42.6,40,50,11.1,109,86.5,5,22,,,,,25.6,28.3,83.7,,27.5,,,62.4,,,2,5,116,22.0,41.7,10.1,11,4,1,5,1,11,9.5,514,5.5,64.1,78,84,9.1,2.63,2,4,4.4,52.4,44,34,12.0,97,77.0,6,22,,,,,24.7,39.5,83.5,,36.3,,,64.2,,,1,5,104,29.4,47.9,10.3,10,3,1,2,0,9,8.7,544,6.5,43.5,23,27,7.5,3.33,0,0,0.0,37.0,10,18,0.0,29,23.0,0,6,,,,,77.6,25.1,76.3,,26.2,,,58.3,,,1,0,31,5.6,65.4,3.4,1,1,0,3,1,2,6.5,130,4.8,0,93.8,16,17,-3.1,2.06,1,0,0.0,82.4,14,2,6.7,17,13.5,1,6,,,,,74.8,68.2,74.5,,67.5,,,,,,0,0,19,0.0,105.9,0.0,0,0,0,0,0,0,0.0,160,9.4,-1.67
Jake Browning,46401,QB,CIN,5,4.25,0,120,7,80.2,81,86,7.3,2.88,3,3,3.3,72.1,62,37,4.6,104,86.7,3,39,,,,64.7,58.5,76.6,0.0,,73.9,62.0,,77.5,,,0,2,109,24.3,102.5,8.7,9,9,0,2,4,3,2.8,712,8.3,82.6,69,74,4.2,2.61,3,3,3.8,74.3,55,26,3.5,86,71.7,2,24,,,,,53.4,63.6,0.0,,61.6,,,74.3,,,0,2,91,30.8,96.6,9.3,8,4,0,2,3,3,3.3,539,7.3,85.2,27,28,9.0,3.16,0,0,0.0,78.6,22,13,4.3,34,28.3,1,21,,,,64.7,78.4,90.9,76.9,,90.0,62.0,,70.6,,,0,0,35,7.7,142.6,2.9,1,5,0,1,2,0,0.0,385,13.8,0,100.0,15,16,-3.9,1.98,0,0,0.0,93.8,15,2,0.0,16,13.3,0,6,,,,,74.2,63.9,74.3,,63.4,,,,,,0,0,17,0.0,139.6,0.0,0,0,0,1,1,0,0.0,212,13.3,6.47
Dorian Thompson-Robinson,83574,QB,CLV,4,18.42,0,119,8,65.6,90,101,7.2,2.72,3,0,0.0,51.5,52,36,11.9,111,93.3,7,25,,,,,31.1,48.5,35.2,,49.0,,,56.8,,,2,4,119,13.9,48.9,4.5,5,5,2,4,1,6,5.0,414,4.1,65.0,80,90,6.6,2.58,3,0,0.0,50.0,45,29,13.5,97,81.5,7,19,,,,,28.9,44.7,82.9,,44.7,,,54.3,,,2,4,103,13.8,41.4,4.1,4,3,2,3,0,5,4.9,349,3.9,82.4,17,19,5.6,3.17,0,0,0.0,68.4,13,8,7.1,22,18.5,1,6,,,,,76.1,69.2,0.0,,70.1,,,64.2,,,0,0,24,12.5,94.2,4.5,1,2,0,2,1,1,4.2,80,4.2,0,100.0,7,8,-3.0,2.16,0,0,0.0,75.0,6,1,14.3,8,6.7,1,0,,,,,70.3,64.2,71.5,,63.8,,,,,,0,0,8,0.0,77.1,0.0,0,0,0,1,0,0,0.0,15,1.9,0.33
Tyrod Taylor,6332,QB,NYG,6,8.45,0,113,21,72.1,68,78,9.5,2.96,0,7,8.5,61.5,48,49,2.0,104,92.0,1,28,,,,,54.2,66.2,83.3,,68.0,,,55.3,,,0,0,114,20.4,91.3,9.6,10,16,2,8,2,2,1.8,550,7.1,72.6,62,69,8.3,2.62,0,5,6.9,63.8,44,35,2.2,86,76.1,1,21,,,,,48.8,60.6,82.9,,62.8,,,52.0,,,0,0,94,14.3,84.0,5.8,5,12,2,5,1,2,2.1,397,5.8,86.7,15,18,6.3,3.59,0,2,10.5,72.2,13,15,0.0,27,23.9,0,7,,,,,77.0,80.1,76.0,,78.9,,,65.3,,,0,0,29,33.3,122.9,18.5,5,4,0,3,1,0,0.0,182,10.1,0,100.0,9,9,-3.4,1.59,0,0,0.0,100.0,9,1,0.0,9,8.0,0,0,,,,,70.9,66.3,71.9,,65.7,,,,,,0,0,9,0.0,80.1,0.0,0,0,0,0,0,0,0.0,29,3.2,4.36
Bailey Zappe,60396,QB,NE,6,4.16,0,106,19,60.3,73,78,11.1,2.98,0,3,3.7,51.3,40,37,9.1,92,86.8,4,20,,,,,84.8,51.0,33.6,,50.6,,,61.1,,,0,3,95,24.3,65.3,9.8,9,5,0,5,3,3,3.2,443,5.7,65.2,69,75,8.5,2.69,1,2,2.6,54.7,41,30,8.9,86,81.1,4,19,,,,,84.3,51.9,32.1,,50.4,,,67.5,,,0,1,89,26.7,78.3,9.3,8,3,0,5,3,2,2.2,411,5.5,70.6,17,17,10.9,3.25,0,1,5.9,58.8,10,7,16.7,20,18.9,2,5,,,,,75.1,58.9,74.7,,62.2,,,52.3,,,0,2,20,14.3,42.9,5.0,1,2,0,0,0,1,5.0,128,7.5,0,100.0,13,14,-3.0,1.56,1,0,0.0,78.6,11,0,15.4,14,13.2,2,4,,,,,73.2,66.4,73.5,,65.8,,,,,,0,0,14,,95.2,0.0,0,0,0,0,0,0,0.0,96,6.9,2.05
Anthony Richardson,124393,QB,IND,4,-5.05,0,98,14,66.2,65,73,10.1,3.0,3,3,3.8,54.8,40,30,7.0,86,87.8,3,29,,,,,26.0,53.8,82.4,,58.6,,,45.3,,,2,1,95,20.0,78.8,7.0,6,7,0,3,2,3,3.2,484,6.6,72.1,61,66,8.1,2.71,2,3,4.3,60.6,40,23,9.1,75,76.5,4,25,,,,,24.8,62.4,82.1,,68.5,,,46.4,,,2,0,80,17.4,91.2,5.3,4,5,0,1,2,2,2.5,452,6.8,66.7,15,18,7.4,3.35,1,0,0.0,55.6,10,8,0.0,23,23.5,0,8,,,,,25.2,29.0,75.8,,29.9,,,54.5,,,0,1,27,37.5,72.7,13.0,3,2,0,2,1,2,7.4,125,6.9,0,100.0,11,11,-4.2,1.82,0,0,0.0,90.9,10,1,9.1,12,12.2,1,4,,,,,19.8,46.9,72.9,,47.6,,,,,,0,0,12,100.0,132.2,8.3,1,0,0,0,1,1,8.3,93,8.5,0.09
Mitch Trubisky,11757,QB,PIT,4,-19.48,0,96,25,67.1,73,78,9.9,2.88,0,1,1.2,59.0,46,34,6.1,90,93.8,3,26,,,,,56.4,40.1,82.0,,41.7,60.0,,49.2,,,3,3,96,11.8,70.7,4.4,4,8,1,1,3,5,5.2,425,5.4,68.5,73,77,8.9,2.74,0,1,1.2,62.3,48,30,4.0,86,89.6,2,26,,,,,55.3,41.7,81.8,,44.3,,,45.1,,,2,3,92,13.3,74.4,4.7,4,5,1,1,3,5,5.4,436,5.7,66.7,6,7,9.0,3.47,0,0,0.0,42.9,3,5,25.0,10,10.4,1,3,,,,,71.4,51.3,72.6,,47.0,60.0,,63.5,,,1,0,10,0.0,53.9,0.0,0,3,0,0,0,0,0.0,27,3.9,0,83.3,6,6,-2.8,1.87,0,0,0.0,83.3,5,1,0.0,6,6.3,0,3,,,,,68.9,66.0,70.6,,65.4,,,,,,0,0,6,0.0,93.1,0.0,0,0,0,0,0,0,0.0,38,6.3,-1.8
Joe Flacco,4332,QB,CLV,2,13.47,0,93,8,65.3,75,83,10.2,2.68,0,1,1.2,55.4,46,26,6.1,86,92.5,3,20,,,,,84.5,67.7,81.9,,65.9,,,66.1,,,1,2,89,11.5,85.8,3.5,3,0,0,7,5,1,1.1,547,6.6,58.9,56,61,8.3,2.45,0,1,1.6,50.8,31,19,6.1,65,69.9,2,10,,,,,82.6,56.0,81.2,,54.2,,,66.1,,,1,1,66,15.8,61.5,4.6,3,0,0,4,1,0,0.0,270,4.4,83.3,24,28,12.2,3.0,0,0,0.0,64.3,18,7,10.0,28,30.1,2,11,,,,,77.4,82.1,76.1,,80.2,,,,,,0,1,30,0.0,124.3,0.0,0,0,0,4,4,1,3.3,295,10.5,0,80.0,5,6,-1.6,1.79,0,0,0.0,50.0,3,0,25.0,7,7.5,1,1,,,,,69.6,48.0,71.1,,48.8,,,,,,0,0,7,,56.3,0.0,0,0,0,1,0,0,0.0,18,3.0,6.11
Taylor Heinicke,9896,QB,ATL,3,9.05,0,87,2,63.6,55,62,11.2,3.1,1,3,4.7,53.2,33,19,5.7,75,86.2,2,24,,,,,83.4,67.0,81.9,,63.4,,,70.7,,,1,1,78,26.3,78.5,6.7,5,8,1,4,2,4,5.1,417,6.7,64.0,50,58,9.3,2.79,1,3,4.9,53.4,31,16,3.1,69,79.3,1,19,,,,,82.9,67.5,81.8,,63.1,,,73.2,,,1,1,73,25.0,82.1,5.8,4,7,1,5,3,2,2.7,354,6.1,78.6,14,16,8.9,3.5,0,0,0.0,62.5,10,6,9.1,18,20.7,1,6,,,,,74.5,56.6,74.3,,57.8,,,58.3,,,0,0,18,16.7,91.7,5.6,1,1,0,2,0,2,11.1,144,9.0,0,88.9,9,12,-3.0,1.94,0,0,0.0,66.7,8,3,0.0,12,13.8,0,1,,,,,72.8,53.5,73.2,,53.8,,,,,,0,0,13,0.0,113.5,0.0,0,0,0,3,1,0,0.0,81,6.8,2.9
Tim Boyle,21956,QB,NYJ,3,-23.81,0,86,22,68.8,64,68,7.2,2.55,0,2,2.8,60.3,41,32,6.8,77,89.5,3,16,,,,,83.7,63.0,81.3,,60.5,,,69.7,,,0,4,80,28.1,52.9,11.7,9,0,0,4,1,3,3.8,330,4.9,74.2,62,63,5.3,2.34,1,0,0.0,66.7,42,25,8.7,71,82.6,4,12,,,,,83.2,63.6,81.1,,61.0,,,69.7,,,0,3,74,32.0,60.4,11.3,8,0,0,0,1,2,2.7,262,4.2,60.0,10,14,11.4,3.13,0,2,14.3,42.9,6,7,0.0,15,17.4,0,4,,,,,73.5,61.2,73.7,,61.0,,,,,,0,1,15,14.3,37.2,6.7,1,0,0,4,0,1,6.7,98,7.0,0,100.0,8,9,-2.1,1.9,1,0,0.0,77.8,7,0,12.5,9,10.5,1,0,,,,,70.9,64.2,71.9,,63.8,,,,,,0,0,9,,80.6,0.0,0,0,0,0,0,0,0.0,30,3.3,2.84
Andy Dalton,6187,QB,CAR,1,-26.67,0,63,5,70.2,47,52,9.1,2.48,1,4,7.1,55.8,29,27,12.1,56,88.9,4,17,,,,,81.8,82.7,79.8,,80.7,,,64.2,,,3,0,60,11.1,88.9,5.4,3,1,0,1,2,1,1.7,344,6.6,72.0,50,55,7.3,2.31,1,3,5.1,60.0,33,26,8.3,59,93.7,3,17,,,,,82.1,81.0,79.9,,79.1,,,64.2,,,3,0,63,7.7,90.4,3.4,2,1,0,1,2,0,0.0,346,6.3,66.7,3,3,15.0,2.7,0,1,33.3,33.3,1,1,50.0,4,6.3,1,1,,,,,66.9,66.5,69.2,,65.9,,,,,,0,0,4,100.0,50.7,25.0,1,0,0,0,0,1,25.0,15,5.0,0,83.3,6,6,-3.2,1.16,0,0,0.0,83.3,5,0,0.0,7,11.1,0,1,,,,,69.6,57.1,71.1,,57.2,,,,,,0,0,7,,79.2,0.0,0,0,0,0,0,0,0.0,17,2.8,-1.29
