player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Davis Mills,52269,QB,HST,2,66.7,12,13,8.0,2.29,1,0,0.0,53.8,7,0,3,12.5,14,1,4,13,73.2,63.2,62.7,,0,0,14,0,33.3,72.3,7.1,1,0,0,0,0,0,0.0,79,6.1
Mac Jones,60323,QB,JAX,2,77.8,9,9,2.8,2.14,0,0,0.0,66.7,6,0,3,14.3,11,1,1,15,19.8,26.1,26.7,,0,0,12,0,66.7,70.6,18.2,2,0,0,0,0,2,16.7,28,3.1
Drew Lock,39517,QB,NYG,1,42.9,7,8,10.0,2.67,1,0,0.0,37.5,3,0,2,0.0,10,0,1,21,18.1,26.8,24.7,65.9,0,0,10,0,50.0,45.8,10.0,1,1,0,0,0,2,20.0,6,0.8
Tyrod Taylor,6332,QB,NYJ,1,75.0,8,8,4.6,2.6,0,0,0.0,75.0,6,0,3,0.0,9,0,3,22,71.4,66.1,59.8,65.6,0,0,10,0,0.0,122.9,0.0,0,1,0,0,1,0,0.0,36,4.5
Hendon Hooker,60593,QB,DET,2,60.0,5,5,3.2,2.72,0,0,0.0,60.0,3,0,3,0.0,6,0,1,11,69.9,53.2,52.2,60.0,0,0,6,0,33.3,72.9,16.7,1,0,0,0,0,0,0.0,25,5.0
Mitch Trubisky,11757,QB,BUF,2,66.7,3,3,6.0,1.87,0,0,0.0,66.7,2,0,0,0.0,3,0,0,4,72.2,29.1,24.6,61.6,0,0,3,0,,70.1,0.0,0,0,0,0,0,1,33.3,5,1.7
Taysom Hill,12112,TE,NO,2,50.0,2,2,-2.0,3.7,0,0,0.0,50.0,1,0,2,0.0,2,0,0,20,79.0,66.6,55.0,82.9,0,0,2,0,0.0,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5
Johnny Hekker,7252,P,CAR,2,0.0,2,2,10.5,2.15,0,0,0.0,0.0,0,0,0,,2,0,0,5,63.6,47.9,50.7,,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Taylor Heinicke,9896,QB,LAC,1,100.0,2,2,7.5,2.64,0,0,0.0,100.0,2,0,3,0.0,5,0,1,27,68.0,66.0,65.2,,0,0,5,0,100.0,116.7,60.0,3,0,0,0,0,0,0.0,24,12.0
Courtland Sutton,48164,WR,DEN,2,100.0,2,2,9.0,2.9,0,0,0.0,100.0,2,0,1,0.0,2,0,2,10,29.5,72.8,78.4,,0,0,2,0,0.0,158.3,0.0,0,0,0,0,1,0,0.0,30,15.0
Josh Johnson,4474,QB,BLT,1,100.0,1,1,0.0,2.8,0,0,0.0,100.0,1,0,1,0.0,1,0,0,3,68.2,52.0,60.4,55.6,0,0,1,0,0.0,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0
Joe Mixon,11803,HB,HST,1,0.0,1,1,18.0,2.8,0,0,0.0,0.0,0,0,0,,1,0,0,13,90.0,81.2,54.9,78.5,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Riley Dixon,10862,P,DEN,1,100.0,1,1,-4.0,0.9,0,0,0.0,100.0,1,0,0,0.0,1,0,0,10,60.4,61.3,60.4,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
Jaxon Smith-Njigba,129758,WR,SEA,1,100.0,1,1,33.0,3.8,0,0,0.0,100.0,1,0,1,0.0,1,0,1,29,39.9,72.6,59.7,,0,0,1,0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,35,35.0
Stefon Diggs,9579,WR,HST,2,100.0,1,1,-4.0,4.15,0,0,0.0,100.0,1,0,0,0.0,2,0,2,13,79.7,79.0,60.4,64.9,0,0,2,2,,118.8,0.0,0,1,0,0,0,0,0.0,13,13.0
Adonai Mitchell,146712,WR,IND,1,100.0,1,1,-6.0,3.5,0,0,0.0,100.0,1,0,0,0.0,1,0,1,14,73.7,59.5,60.0,59.5,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0
Malik Nabers,146759,WR,NYG,1,,0,1,,4.3,0,0,0.0,0.0,0,0,1,,1,0,0,21,80.5,81.3,60.0,54.5,0,0,1,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Darnell Mooney,48236,WR,ATL,1,,0,1,,4.2,0,0,0.0,0.0,0,0,1,,1,0,0,2,78.4,74.2,60.0,,0,0,1,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Kenny Pickett,60515,QB,PHI,1,,0,1,,2.85,0,0,0.0,0.0,0,0,2,,2,0,0,24,66.1,54.0,56.0,59.5,1,0,2,0,50.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
David Montgomery,45719,HB,DET,1,100.0,1,1,11.0,2.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,68.8,84.5,69.5,81.3,0,0,1,1,,118.8,0.0,0,0,0,0,1,0,0.0,3,3.0
Justin Jefferson,61398,WR,MIN,2,100.0,1,1,-4.0,5.85,0,0,0.0,100.0,1,1,1,0.0,2,0,1,18,37.6,87.1,60.3,58.3,0,0,2,2,0.0,118.8,0.0,0,1,0,0,0,0,0.0,22,22.0
Bryan Anger,7072,P,DAL,1,0.0,1,1,9.0,2.1,0,0,0.0,0.0,0,0,0,,1,0,0,9,60.4,43.9,44.0,,0,0,1,0,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0
Jack Fox,34735,P,DET,1,100.0,1,1,15.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,60.4,72.6,68.8,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0
Tutu Atwell,77965,WR,LA,1,0.0,1,1,35.0,3.4,0,0,0.0,0.0,0,0,0,,1,0,0,26,76.4,71.2,59.7,51.7,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Kyle Allen,26152,QB,PIT,1,100.0,1,1,13.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,25,60.4,73.2,71.6,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0
Michael Penix Jr.,82134,QB,ATL,1,100.0,1,1,3.0,1.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,2,60.4,73.0,70.8,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0
Nick Mullens,12282,QB,MIN,1,100.0,1,1,22.0,2.1,0,0,0.0,100.0,1,0,1,0.0,1,0,1,18,64.5,77.2,74.8,60.0,0,0,1,0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0
Amon-Ra St. Brown,84470,WR,DET,1,100.0,1,1,5.0,3.9,0,0,0.0,100.0,1,1,0,0.0,1,0,1,11,79.3,81.4,60.5,,0,0,1,2,,135.4,0.0,0,0,0,0,1,0,0.0,7,7.0
